time,queue,loss,throughput
1,2.0,0.0,0
2,1.0,0.333333333333,1
3,2.0,0.25,1
4,1.0,0.4,2
5,0.0,0.333333333333,2
6,1.0,0.285714285714,0
7,2.0,0.25,0
8,3.0,0.222222222222,0
9,3.0,0.3,0
10,3.0,0.363636363636,0
11,4.0,0.333333333333,0
12,4.0,0.384615384615,0
13,4.0,0.428571428571,0
14,4.0,0.466666666667,0
15,3.0,0.5,1
16,2.0,0.529411764706,1
17,2.0,0.5,1
18,1.0,0.473684210526,2
19,2.0,0.45,0
20,3.0,0.428571428571,0
21,4.0,0.409090909091,0
22,4.0,0.434782608696,0
23,3.0,0.458333333333,1
24,1.0,0.48,2
25,1.0,0.48,0
26,2.0,0.461538461538,0
27,3.0,0.444444444444,0
28,4.0,0.428571428571,0
29,4.0,0.448275862069,0
30,4.0,0.466666666667,0
31,4.0,0.483870967742,0
32,4.0,0.5,0
33,4.0,0.515151515152,0
34,4.0,0.529411764706,0
35,4.0,0.542857142857,0
36,4.0,0.555555555556,0
37,3.0,0.567567567568,1
38,3.0,0.578947368421,0
39,3.0,0.589743589744,0
40,3.0,0.6,0
41,3.0,0.609756097561,0
42,3.0,0.619047619048,0
43,3.0,0.619047619048,0
44,3.0,0.604651162791,1
45,4.0,0.590909090909,0
46,3.0,0.6,1
47,3.0,0.586956521739,1
48,2.0,0.595744680851,1
49,3.0,0.583333333333,0
50,3.0,0.583333333333,0
51,3.0,0.571428571429,1
52,3.0,0.58,0
53,2.0,0.588235294118,1
54,1.0,0.596153846154,1
55,2.0,0.584905660377,0
56,1.0,0.592592592593,1
57,1.0,0.581818181818,1
58,2.0,0.571428571429,0
59,3.0,0.561403508772,0
60,3.0,0.568965517241,0
61,3.0,0.576271186441,0
62,3.0,0.583333333333,0
63,2.0,0.590163934426,1
64,2.0,0.596774193548,1
65,2.0,0.603174603175,1
66,2.0,0.609375,0
67,2.0,0.615384615385,1
68,3.0,0.606060606061,0
69,1.0,0.611940298507,2
70,2.0,0.602941176471,0
71,3.0,0.594202898551,0
72,2.0,0.585714285714,2
73,2.0,0.577464788732,1
74,2.0,0.569444444444,1
75,3.0,0.561643835616,0
76,3.0,0.567567567568,0
77,3.0,0.573333333333,0
78,2.0,0.578947368421,1
79,1.0,0.584415584416,2
80,2.0,0.576923076923,0
81,3.0,0.569620253165,0
82,3.0,0.575,0
83,2.0,0.58024691358,1
84,3.0,0.573170731707,0
85,3.0,0.578313253012,0
86,3.0,0.583333333333,0
87,2.0,0.588235294118,1
88,3.0,0.581395348837,0
89,3.0,0.574712643678,1
90,3.0,0.574712643678,0
91,3.0,0.579545454545,0
